,AwayTeam,FTAG_away,AC_away,AF_away,AR_away,AS_away,AST_away,AY_away,LSAW_away,LSAD_away
0,Burnley,0.21490194594593034,-0.7292820814365654,-0.2699527623995078,2.883223386981425,0.08377185219289203,0.677577723348268,0.32616403652672143,-0.5049017083267133,-0.7187870718877531
1,Arsenal,0.5219047258686886,0.32328999486363164,0.854850414265111,-0.6115928396627266,0.4620963459672448,0.5434039167446507,-0.32616403652672105,2.2807628893379133,-0.7187870718877531
2,Bournemouth,-1.0131091737451032,0.02255511592071802,1.079811049598034,1.1358152736593492,0.5701890584742028,-0.26163892287705276,0.0,-0.156693633618635,-1.2512219399527553
3,Brighton,-1.3201119536678616,-0.5789146419651086,-0.4949133977324317,-0.6115928396627266,1.056606264755513,0.00670869033018191,0.6523280730534421,0.8879305905055999,-0.18635220382275106
4,Everton,-1.0131091737451032,0.47365743433508845,1.4172520025974205,-0.6115928396627266,-1.0512016291301658,-1.2008555691023732,1.6308201826336057,-1.2013178577428698,2.4758221365022597
5,Sheffield United,-1.0131091737451032,-0.27817976302219494,-0.7198740330653557,-0.6115928396627266,-0.40264535408841823,-0.9325079558951389,-1.6308201826336057,-1.2013178577428698,-0.7187870718877531
6,Newcastle,1.1359102857142056,0.17292255539217483,-0.2699527623995078,-0.6115928396627266,0.7323281272346396,1.482620562969971,1.3046561461068842,0.8879305905055999,1.9433872684372575
7,Brentford,1.1359102857142056,0.9247597527494582,0.5174094612657246,1.1358152736593492,-0.13241357282102348,0.5434039167446507,0.6523280730534421,-0.156693633618635,1.4109524003722553
8,Chelsea,0.5219047258686886,0.02255511592071802,0.06748819059987769,1.1358152736593492,-0.13241357282102348,-0.26163892287705276,1.3046561461068842,-0.156693633618635,-0.18635220382275106
9,Man United,0.21490194594593034,-1.0300169603794787,0.40492914359926313,-0.6115928396627266,-0.2945526415814607,-0.5299865360842871,-1.3046561461068846,0.8879305905055999,-0.7187870718877531
10,Nott'm Forest,-0.09210083397682826,-0.7292820814365654,-0.7198740330653557,-0.6115928396627266,0.13781820844637127,0.40923011014103333,-0.6523280730534421,-1.549525932450948,0.3460826642422511
11,Fulham,0.8289075057914469,1.8269643895781984,0.40492914359926313,-0.6115928396627266,1.5430234710368238,1.3484467563663542,-0.6523280730534421,0.5397225157975216,-1.2512219399527553
12,Liverpool,0.8289075057914469,2.428434147464025,0.29244882593280164,-0.6115928396627266,2.4618115273459655,1.885141982780823,-0.6523280730534421,0.1915144410894433,0.3460826642422511
13,Wolves,-1.0131091737451032,-1.9322215972082186,1.4172520025974205,1.1358152736593492,-1.2673870541440817,-1.2008555691023732,1.3046561461068842,-1.2013178577428698,0.3460826642422511
14,Tottenham,-0.39910361389958654,0.32328999486363164,0.17996850826633917,-0.6115928396627266,0.5701890584742028,0.275056303537416,0.9784921095801635,0.1915144410894433,0.3460826642422511
15,Man City,2.6709241853279972,0.7743923132780014,-3.0819607040610553,-0.6115928396627266,0.29995727720680804,1.482620562969971,-1.9569842191603266,1.932554814629835,-0.18635220382275106
16,Aston Villa,-1.0131091737451032,0.47365743433508845,-0.7198740330653557,-0.6115928396627266,-1.0512016291301658,-1.2008555691023732,0.32616403652672143,0.1915144410894433,0.3460826642422511
17,West Ham,0.21490194594593034,-1.1803843998509351,-1.1697953037312037,-0.6115928396627266,-1.105247985383645,-1.2008555691023732,-0.32616403652672105,-0.8531097830347916,-0.7187870718877531
18,Crystal Palace,-0.39910361389958654,-0.42854720249365175,0.7423700965986486,1.1358152736593492,-0.7269234916092923,-0.6641603426879045,-0.6523280730534421,-0.5049017083267133,0.3460826642422511
19,Luton,-1.0131091737451032,-0.8796495209080218,0.06748819059987769,-0.6115928396627266,-1.7538042604253923,-1.2008555691023732,-0.32616403652672105,-0.5049017083267133,-1.2512219399527553
